Tỉnh/TP,Tổng số ca,Hôm nay,Tử vong
TP. Hồ Chí Minh,431.839,+985,16.779
Bình Dương,235.237,+773,2.465
Đồng Nai,68.233,+905,556
Long An,35.154,+119,498
Tiền Giang,16.891,+207,402
An Giang,11.719,+312,142
Tây Ninh,11.691,+272,162
Kiên Giang,10.365,+374,95
Đồng Tháp,10.016,+97,223
Khánh Hòa,9.203,+27,91
Cần Thơ,7.570,+152,128
Bắc Giang,6.028,+32,13
Bình Thuận,5.822,+136,66
Đà Nẵng,5.487,+4,105
Sóc Trăng,5.233,+193,49
Bà Rịa – Vũng Tàu,5.112,+82,53
Hà Nội,5.081,+76,38
Đắk Lắk,4.229,+98,25
Bạc Liêu,4.188,+290,36
Phú Yên,3.196,+10,39
Trà Vinh,3.000,+36,23
Vĩnh Long,2.852,+67,47
Bến Tre,2.582,+52,52
Ninh Thuận,2.543,+95,34
Nghệ An,2.510,+20,20
Bắc Ninh,2.275,+48,15
Quảng Bình,1.942,+8,6
Cà Mau,1.938,-,14
Bình Phước,1.863,+70,15
Gia Lai,1.839,+45,5
Bình Định,1.757,+50,17
Quảng Nam,1.558,+90,12
Hậu Giang,1.483,+40,3
Thừa Thiên Huế,1.214,+35,11
Thanh Hóa,1.158,+29,7
Hà Giang,1.098,+118,0
Hà Nam,1.096,+11,0
Hải Dương,1.005,+11,1
Đắk Nông,963,+10,7
Phú Thọ,914,+50,0
Quảng Ngãi,599,+29,10
Lâm Đồng,577,+18,2
Hà Tĩnh,543,+1,5
Quảng Trị,507,+11,2
Hưng Yên,388,+1,1
Nam Định,357,+9,0
Sơn La,301,+8,0
Vĩnh Phúc,296,+1,3
Kon Tum,286,+9,0
Lạng Sơn,230,+5,1
Ninh Bình,206,+9,0
Thái Bình,167,+5,0
Quảng Ninh,155,+4,0
Lào Cai,140,+2,0
Điện Biên,95,+25,0
Hải Phòng,88,+6,0
Hòa Bình,47,+1,0
Thái Nguyên,38,+1,0
Tuyên Quang,28,-,0
Yên Bái,19,-,0
Lai Châu,17,-,0
Bắc Kạn,9,+1,0
Cao Bằng,0,-,0
